date_time,city_id,city_name,customer_id,first_name,last_name,item_id,item_name,quantity,payment_amount
2022-05-11T00:00:00,1,Ростов,961,Надежда,Егорова,4,Сахар песок,1,50
2022-05-11T00:00:00,1,Ростов,521,Оксана,Морозова,5,Яблоко молодильное,5,2000
2022-05-11T00:00:00,0,Москва,931,Надежда,Волкова,5,Яблоко молодильное,4,1600
2022-05-11T00:00:00,2,Ярославль,421,Екатерина,Морозова,4,Сахар песок,2,100
2022-05-11T00:00:00,2,Ярославль,840,Геннадий,Кузнецов,5,Яблоко молодильное,1,400
2022-05-11T00:00:00,2,Ярославль,461,Екатерина,Егорова,3,Устройство для нагревания табака Трубка Мира,2,1000
2022-05-11T00:00:00,1,Ростов,511,Оксана,Федорова,2,Молоко 5%,4,600
2022-05-11T00:00:00,0,Москва,880,Геннадий,Михайлов,10,Томаты,1,50
2022-05-11T00:00:00,1,Ростов,331,Светлана,Волкова,6,Яблоко,1,140
2022-05-11T00:00:00,2,Ярославль,440,Сергей,Кузнецов,1,Молоко 3%,4,480
2022-05-11T00:00:00,2,Ярославль,480,Сергей,Михайлов,8,Лампочка LED,4,1200
2022-05-11T00:00:00,2,Ярославль,631,Елизавета,Волкова,6,Яблоко,1,140
2022-05-11T00:00:00,1,Ростов,451,Екатерина,Лебедева,5,Яблоко молодильное,4,1600
2022-05-11T00:00:00,1,Ростов,860,Геннадий,Васильев,2,Молоко 5%,2,300
2022-05-11T00:00:00,2,Ярославль,940,Эдуард,Кузнецов,9,Ручка шариковая,5,225
2022-05-11T00:00:00,2,Ярославль,190,Евгений,Новиков,1,Молоко 3%,4,480
2022-05-11T00:00:00,0,Москва,880,Геннадий,Михайлов,10,Томаты,1,50
2022-05-11T00:00:00,1,Ростов,331,Светлана,Волкова,6,Яблоко,1,140
2022-05-11T00:00:00,2,Ярославль,440,Сергей,Кузнецов,1,Молоко 3%,4,480
2022-05-11T00:00:00,2,Ярославль,480,Сергей,Михайлов,8,Лампочка LED,4,1200
2022-05-11T00:00:00,2,Ярославль,631,Елизавета,Волкова,6,Яблоко,1,140
2022-05-11T00:00:00,1,Ростов,451,Екатерина,Лебедева,5,Яблоко молодильное,4,1600
2022-05-11T00:00:00,1,Ростов,860,Геннадий,Васильев,2,Молоко 5%,2,300
2022-05-11T00:00:00,2,Ярославль,940,Эдуард,Кузнецов,9,Ручка шариковая,5,225
2022-05-11T00:00:00,2,Ярославль,190,Евгений,Новиков,1,Молоко 3%,4,480
2022-05-11T00:00:00,0,Москва,880,Геннадий,Михайлов,10,Томаты,1,50
2022-05-11T00:00:00,1,Ростов,331,Светлана,Волкова,6,Яблоко,1,140
2022-05-11T00:00:00,2,Ярославль,440,Сергей,Кузнецов,1,Молоко 3%,4,480
2022-05-11T00:00:00,2,Ярославль,480,Сергей,Михайлов,8,Лампочка LED,4,1200
2022-05-11T00:00:00,2,Ярославль,631,Елизавета,Волкова,6,Яблоко,1,140
2022-05-11T00:00:00,1,Ростов,451,Екатерина,Лебедева,5,Яблоко молодильное,4,1600
2022-05-11T00:00:00,1,Ростов,860,Геннадий,Васильев,2,Молоко 5%,2,300
2022-05-11T00:00:00,2,Ярославль,940,Эдуард,Кузнецов,9,Ручка шариковая,5,225
2022-05-11T00:00:00,2,Ярославль,190,Евгений,Новиков,1,Молоко 3%,4,480
2022-05-11T00:00:00,0,Москва,880,Геннадий,Михайлов,10,Томаты,1,50
2022-05-11T00:00:00,1,Ростов,331,Светлана,Волкова,6,Яблоко,1,140
2022-05-11T00:00:00,2,Ярославль,440,Сергей,Кузнецов,1,Молоко 3%,4,480
2022-05-11T00:00:00,2,Ярославль,480,Сергей,Михайлов,8,Лампочка LED,4,1200
2022-05-11T00:00:00,2,Ярославль,631,Елизавета,Волкова,6,Яблоко,1,140
2022-05-11T00:00:00,1,Ростов,451,Екатерина,Лебедева,5,Яблоко молодильное,4,1600
2022-05-11T00:00:00,1,Ростов,860,Геннадий,Васильев,2,Молоко 5%,2,300
2022-05-11T00:00:00,2,Ярославль,940,Эдуард,Кузнецов,9,Ручка шариковая,5,225
2022-05-11T00:00:00,2,Ярославль,190,Евгений,Новиков,1,Молоко 3%,4,480
2022-05-11T00:00:00,0,Москва,880,Геннадий,Михайлов,10,Томаты,1,50
2022-05-11T00:00:00,1,Ростов,331,Светлана,Волкова,6,Яблоко,1,140
2022-05-11T00:00:00,2,Ярославль,440,Сергей,Кузнецов,1,Молоко 3%,4,480
2022-05-11T00:00:00,2,Ярославль,480,Сергей,Михайлов,8,Лампочка LED,4,1200
2022-05-11T00:00:00,2,Ярославль,631,Елизавета,Волкова,6,Яблоко,1,140
2022-05-11T00:00:00,1,Ростов,451,Екатерина,Лебедева,5,Яблоко молодильное,4,1600
2022-05-11T00:00:00,1,Ростов,860,Геннадий,Васильев,2,Молоко 5%,2,300
2022-05-11T00:00:00,2,Ярославль,940,Эдуард,Кузнецов,9,Ручка шариковая,5,225
2022-05-11T00:00:00,2,Ярославль,190,Евгений,Новиков,1,Молоко 3%,4,480
2022-05-11T00:00:00,0,Москва,880,Геннадий,Михайлов,10,Томаты,1,50
